velocidad_bala,distancia,salto_hecho
-10,700,0
-14,686,0
-14,672,0
-14,658,0
-14,644,0
-14,630,0
-14,616,0
-14,602,0
-14,588,0
-14,574,1
-14,560,1
-14,546,1
-14,532,1
-14,518,1
-14,504,1
-14,490,1
-14,476,1
-14,462,1
-14,448,1
-14,434,1
-14,420,1
-14,406,1
-14,392,1
-14,378,1
-14,364,1
-14,350,1
-14,336,1
-14,322,1
-14,308,1
-14,294,1
-14,280,1
-14,266,1
-14,252,1
-14,238,1
-14,224,1
-14,210,1
-14,196,1
-14,182,1
-14,168,1
-14,154,0
-14,140,0
-14,126,1
-14,112,1
-14,98,1
-14,84,1
-14,70,1
-14,56,1
-14,42,1
-14,28,1
-14,14,1
-14,0,1
-14,14,1
-14,28,1
-14,42,1
-14,700,1
-7,693,1
-7,686,1
-7,679,1
-7,672,1
-7,665,1
-7,658,1
-7,651,1
-7,644,1
-7,637,1
-7,630,1
-7,623,1
-7,616,1
-7,609,1
-7,602,1
-7,595,1
-7,588,1
-7,581,0
-7,574,1
-7,567,1
-7,560,1
-7,553,1
-7,546,1
-7,539,1
-7,532,1
-7,525,1
-7,518,1
-7,511,1
-7,504,1
-7,497,1
-7,490,1
-7,483,1
-7,476,1
-7,469,1
-7,462,1
-7,455,1
-7,448,1
-7,441,1
-7,434,1
-7,427,1
-7,420,1
-7,413,1
-7,406,1
-7,399,1
-7,392,1
-7,385,1
-7,378,1
-7,371,1
-7,364,0
-7,357,0
-7,350,0
-7,343,0
-7,336,0
-7,329,0
-7,322,0
-7,315,0
-7,308,0
-7,301,0
-7,294,0
-7,287,0
-7,280,0
-7,273,0
-7,266,0
-7,259,0
-7,252,0
-7,245,0
-7,238,0
-7,231,0
-7,224,0
-7,217,0
-7,210,0
-7,203,0
-7,196,0
-7,189,0
-7,182,0
-7,175,0
-7,168,0
-7,161,0
-7,154,0
-7,147,0
-7,140,0
-7,133,0
-7,126,0
-7,119,0
-7,112,0
-7,105,0
-7,98,0
-7,91,0
-7,84,0
-7,77,0
-7,70,0
-7,63,1
-7,56,1
-7,49,1
-7,42,1
-7,35,1
-7,28,1
-7,21,1
-7,14,1
-7,7,1
-7,0,1
-7,7,1
-7,14,1
-7,21,1
-7,28,1
-7,35,1
-7,42,1
-7,49,1
-7,700,1
-13,687,1
-13,674,1
-13,661,1
-13,648,1
-13,635,1
-13,622,1
-13,609,1
-13,596,1
-13,583,1
-13,570,1
-13,557,1
-13,544,1
-13,531,0
-13,518,0
-13,505,0
-13,492,0
-13,479,0
